comment_id,video_id,text,text_original,author_display_name,author_profile_image_url,author_channel_url,author_channel_id,like_count,published_at,updated_at,is_reply,parent_id,total_reply_count,is_valid,extracted_at
UgxPXYmK4bQxKXa7jS54AaABAg.ANhpcwMhwCaANkaYbS4k-7,qjPH9njnaVU,I understand it was a major project that required quite an investment in time! Very unique!,I understand it was a major project that required quite an investment in time! Very unique!,@SuperMemoVideo,https://yt3.ggpht.com/ytc/AIdro_luy1AFZUci2km72mcNGdySwcVaP6AOF_Qltf-7o6WLJyU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@SuperMemoVideo,UCqmYtieCc3liSTYxLwk_MLw,1,2025-10-01T22:01:35Z,2025-10-01T22:01:56Z,True,UgxPXYmK4bQxKXa7jS54AaABAg.ANhpcwMhwCaANkaYbS4k-7,0,True,2025-10-02T18:10:42.096110
UgyiizdTxdMXwBtnQ-h4AaABAg,qjPH9njnaVU,"Damn, these guys are exactly the kind of future you want to chase. Innovation, freedom, a proactive lifestyle — basically, a whole cult of life. A man who built himself and now aims to give life to others. No BLM, no censorship, no bureaucracy, no idiotic wars just to preserve one dictatorship against the threat of another.<br>А еще парни, искренне радуюсь сколько же талантливых ребят породило наше пространство СНГ. Сколько талантливых людей не благодаря а вопреки создали что-то великое","Damn, these guys are exactly the kind of future you want to chase. Innovation, freedom, a proactive lifestyle — basically, a whole cult of life. A man who built himself and now aims to give life to others. No BLM, no censorship, no bureaucracy, no idiotic wars just to preserve one dictatorship against the threat of another.
А еще парни, искренне радуюсь сколько же талантливых ребят породило наше пространство СНГ. Сколько талантливых людей не благодаря а вопреки создали что-то великое",@dmitryshevchenko5040,https://yt3.ggpht.com/ytc/AIdro_nubSvF_QIJZO67x0RTzr0dRQf-2fqTuHBNzlrfcwGMIQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@dmitryshevchenko5040,UCet4MbAPndF11FwOYfXmjOg,104,2025-10-01T10:29:18Z,2025-10-01T10:29:18Z,False,,5,True,2025-10-02T18:10:42.097482
UgyiizdTxdMXwBtnQ-h4AaABAg.ANjMK-N7PJVANmKW8EhJuq,qjPH9njnaVU,he is a scum talking to a jew (this comment will be deleted),he is a scum talking to a jew (this comment will be deleted),@zygimantastauras,https://yt3.ggpht.com/ytc/AIdro_k05guB4UxckdHviyA9mNIcA1K9N78nXVqL1-mmp9hbF0bL=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@zygimantastauras,UCY9jekEF46oAa8eohNak_LA,0,2025-10-02T14:11:11Z,2025-10-02T14:11:11Z,True,UgyiizdTxdMXwBtnQ-h4AaABAg.ANjMK-N7PJVANmKW8EhJuq,0,True,2025-10-02T18:10:42.098186
UgxKYT_eCXlMiZjIOCF4AaABAg,qjPH9njnaVU,"Telegram has had a great impact on secure communications for us Iranians. Thank you, Pavel.","Telegram has had a great impact on secure communications for us Iranians. Thank you, Pavel.",@merfanizade8674,https://yt3.ggpht.com/pDBptAtKyDrO5NTtOkGcQSxRFbRacPcmSeWVJOBXb3b6CxVv6-4p3TsZMXyyfZnw3p_TAIJu8A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@merfanizade8674,UC_jnEY4U5b4_Jf_lGyNHLog,8,2025-10-02T07:49:06Z,2025-10-02T07:49:06Z,False,,0,True,2025-10-02T18:10:42.098907
Ugxw5qw450niRcSsknV4AaABAg,qjPH9njnaVU,Legendary! Thank you so much Lex. You managed to achieve what Yuri Dud&#39; never could.,Legendary! Thank you so much Lex. You managed to achieve what Yuri Dud' never could.,@alexv1032,https://yt3.ggpht.com/7usTPEsvo9Acv9GD9j-ZGL1e9lA8-3nxKpjzEUcBn8_J9aS4WfTl8RbFYXjSUJ-NUOq2l2tPX9s=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@alexv1032,UC6iIIeD0xKtnrWLxL23htKw,893,2025-09-30T19:40:12Z,2025-09-30T19:40:12Z,False,,69,True,2025-10-02T18:10:42.099139
Ugxw5qw450niRcSsknV4AaABAg.ANhl_8kXSWcANhmC8Uieif,qjPH9njnaVU,why are you mentioning yuri dud&#39;? did he try to get him on his show before and pavel declined?,why are you mentioning yuri dud'? did he try to get him on his show before and pavel declined?,@prpl__5115,https://yt3.ggpht.com/0cGuGLRTqvoPGFFct4usLPMCVRbwbOW792_bBJxqegyiZ93wzmJv2NMB8yl66qWdIWrlWK_7=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@prpl__5115,UCK3g11YsgoZWunkmgo-QXaw,8,2025-09-30T19:45:39Z,2025-09-30T19:45:39Z,True,Ugxw5qw450niRcSsknV4AaABAg.ANhl_8kXSWcANhmC8Uieif,0,True,2025-10-02T18:10:42.099721
Ugxw5qw450niRcSsknV4AaABAg.ANhl_8kXSWcANhmYSoG7Kq,qjPH9njnaVU,Because Dud&#39; would ask question about his betrayal of russian society.,Because Dud' would ask question about his betrayal of russian society.,@seronimome9294,https://yt3.ggpht.com/ytc/AIdro_l2DLKYJQizjD9DIeLJeueuALtWLuP_YrwT5R7omkM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@seronimome9294,UCn6NmcJzmHyCEBKRzvfCotQ,29,2025-09-30T19:48:42Z,2025-09-30T19:48:54Z,True,Ugxw5qw450niRcSsknV4AaABAg.ANhl_8kXSWcANhmYSoG7Kq,0,True,2025-10-02T18:10:42.099914
Ugxw5qw450niRcSsknV4AaABAg.ANhl_8kXSWcANho8znoIVf,qjPH9njnaVU,I like it when someone writes in English about what only people from their country or environment understand. Fantastic understanding of the surrounding world and the processes in it. Bravo!,I like it when someone writes in English about what only people from their country or environment understand. Fantastic understanding of the surrounding world and the processes in it. Bravo!,@rotro2470,https://yt3.ggpht.com/uZroNoxyQnrh__OMTihJLPKDiq4FUa917AKFJ3oO0diZBcXrsbJ8OtysZeHFuhWENVXlg_M8Iw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@rotro2470,UCBbwruganP1XqHCSeyGL2wA,13,2025-09-30T20:02:42Z,2025-09-30T20:02:42Z,True,Ugxw5qw450niRcSsknV4AaABAg.ANhl_8kXSWcANho8znoIVf,0,True,2025-10-02T18:10:42.100887
Ugzt8Lu5lkazQBwGSTN4AaABAg,qjPH9njnaVU,"I&#39;ve watched full podcast and have took notes. He&#39;s personally is super awesome. Habit, health, mindset ❤","I've watched full podcast and have took notes. He's personally is super awesome. Habit, health, mindset ❤",@rafid_is,https://yt3.ggpht.com/iMbbXhJFntw3ebsFlT4Hhw3kSfDzhs8AxH8G_qy3cSKwo1YBIPzYOsXN2cBEjGWULCIHQOwmLFM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@rafid_is,UCe4I7el7PJisWykCamnTo0w,1,2025-10-02T17:45:45Z,2025-10-02T17:45:45Z,False,,0,True,2025-10-02T18:10:42.102136
UgxnckCIOagjHpRnMzZ4AaABAg,qjPH9njnaVU,I really appreciate this and I’m thankful for it because I’m going to show it to my children to help them navigate. They are 10 and 13 years old. I ride that grey line with them and also totally embrace tech at once. The balance is there. I think humanity will intrinsically find it and I’m positive about this as long as love and empathy pervade: Lex. I’m thankful for you and I support you.,I really appreciate this and I’m thankful for it because I’m going to show it to my children to help them navigate. They are 10 and 13 years old. I ride that grey line with them and also totally embrace tech at once. The balance is there. I think humanity will intrinsically find it and I’m positive about this as long as love and empathy pervade: Lex. I’m thankful for you and I support you.,@jeffreyjohnson311,https://yt3.ggpht.com/ytc/AIdro_ngih2jtRXbKLc4v80pxugkSR5Pha4YwHuvuRq93lmowM8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jeffreyjohnson311,UCjjqd46TneBwjSPADJzKR4A,33,2025-10-01T05:09:31Z,2025-10-01T05:09:31Z,False,,1,True,2025-10-02T18:10:42.103032
UgxnckCIOagjHpRnMzZ4AaABAg.ANimiwNfVRBANinUuDrzij,qjPH9njnaVU,This is Sigma / 41 can you hang?,This is Sigma / 41 can you hang?,@jeffreyjohnson311,https://yt3.ggpht.com/ytc/AIdro_ngih2jtRXbKLc4v80pxugkSR5Pha4YwHuvuRq93lmowM8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jeffreyjohnson311,UCjjqd46TneBwjSPADJzKR4A,1,2025-10-01T05:16:12Z,2025-10-01T05:16:12Z,True,UgxnckCIOagjHpRnMzZ4AaABAg.ANimiwNfVRBANinUuDrzij,0,True,2025-10-02T18:10:42.103176
Ugz9OnmBDgHdU-cPMZJ4AaABAg.ANlG7A01WnCANmQ5iG19M6,qjPH9njnaVU,​@@alexanderfischer3402не любят отжимания?,​@@alexanderfischer3402не любят отжимания?,@veryveryveryvery161,https://yt3.ggpht.com/OKKE5sT696Yev1jqkcOcSBRf3_mmiHyh_iBjYJhR-aLo_l1NXs_MRFUvzLWYWZAFJorGZDjU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@veryveryveryvery161,UCWTtn6TgvmmSUMakKPf8HVQ,1,2025-10-02T15:00:00Z,2025-10-02T15:00:00Z,True,Ugz9OnmBDgHdU-cPMZJ4AaABAg.ANlG7A01WnCANmQ5iG19M6,0,True,2025-10-02T18:10:42.103890
Ugz6T2YqNP7OwUVLPUB4AaABAg,qjPH9njnaVU,"For the first time, I shall thumb it up before even watching the video(Not that the behaviour is important to anyone😂), Telegram is such a thing to learn about even for non-users.❤","For the first time, I shall thumb it up before even watching the video(Not that the behaviour is important to anyone😂), Telegram is such a thing to learn about even for non-users.❤",@MerePasser-by-7482,https://yt3.ggpht.com/ytc/AIdro_k18TQOefWzLa5SvdJmEE0dDZLfk4am4CaTqv-UUpCP4ll3lucs6Ttsxlbnh6UOy4Y8dw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@MerePasser-by-7482,UCyI4Cyibwgw2R_pk4gErIzg,19,2025-10-01T05:32:46Z,2025-10-01T05:32:46Z,False,,0,True,2025-10-02T18:10:42.104488
UgzwVm1D-8gAr4664d14AaABAg,qjPH9njnaVU,"hindi me audio dene ke liye dhanyawaad mere bhai lex ,love from BHARAT. Aur sabhi bhiyo ko dhanyawaad jo like kiye","hindi me audio dene ke liye dhanyawaad mere bhai lex ,love from BHARAT. Aur sabhi bhiyo ko dhanyawaad jo like kiye",@risingindia7578,https://yt3.ggpht.com/ytc/AIdro_n9EYBQD85sOM1H-fH_EXS41In4A0GZdstMLAG-pLY6TF8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@risingindia7578,UCuZTGMkNailhf01rnCfVYLQ,10,2025-10-01T16:55:50Z,2025-10-01T16:55:50Z,False,,0,True,2025-10-02T18:10:42.105021
