comment_id,video_id,text,text_original,author_display_name,author_profile_image_url,author_channel_url,author_channel_id,like_count,published_at,updated_at,is_reply,parent_id,total_reply_count,is_valid,extracted_at,sentiment_polarity,sentiment_subjectivity,vader_compound,vader_positive,vader_negative,vader_neutral,sentiment_label,emotion_strength,is_subjective,sentiment_analyzed_at
Ugw40WLfjSBa2_RGssB4AaABAg.AMLUvyxt6DYAMMBzfb64Pl,GfH4QL4VqJ0,"@@annieliu-channel Whoops, fixed -- added Ken Manheimer (with beanie)","@@annieliu-channel Whoops, fixed -- added Ken Manheimer (with beanie)",@guidovanrossum5739,https://yt3.ggpht.com/ytc/AIdro_mbj969reLfYFuU7YGiRV3hlA2lVX1qrIW3Rh9YZ67ExAnU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@guidovanrossum5739,UCOluo1UcSyazCvHImYaeYTQ,29,2025-08-28T04:45:49Z,2025-08-28T04:46:13Z,True,Ugw40WLfjSBa2_RGssB4AaABAg.AMLUvyxt6DYAMMBzfb64Pl,0,True,2025-10-02T18:36:47.787485,0.1,0.2,0.0,0.0,0.0,1.0,neutral,weak,False,2025-10-02T11:36:47.787748
Ugw40WLfjSBa2_RGssB4AaABAg.AMLUvyxt6DYAMNabpS9r0U,GfH4QL4VqJ0,I love you Guido and Python! 💙💛,I love you Guido and Python! 💙💛,@Christian-i9k7b,https://yt3.ggpht.com/YAEpNKI6EFT5tggrqTFvmEaVayoiSkQrTeXqN2_CLElk2GwvMVIMMirpLb0_oK7YZ24DkrQd=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Christian-i9k7b,UCrsd-zcjwvzbI4y9ko9xjaw,20,2025-08-28T17:49:00Z,2025-08-28T17:49:00Z,True,Ugw40WLfjSBa2_RGssB4AaABAg.AMLUvyxt6DYAMNabpS9r0U,0,True,2025-10-02T18:36:47.787873,0.625,0.6,0.9312,0.648,0.0,0.352,positive,strong,True,2025-10-02T11:36:47.788202
Ugw40WLfjSBa2_RGssB4AaABAg.AMLUvyxt6DYAMNfCINHwDI,GfH4QL4VqJ0,"Hi Guido,  Thanks a lot for Python.","Hi Guido,  Thanks a lot for Python.",@sreeharikollamattam2825,https://yt3.ggpht.com/ytc/AIdro_ml7QkP6K1pTaPJuBS2crY9bhdgGaC-LchtPx8jAZ66D2Y=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@sreeharikollamattam2825,UCJcUKHz7S4VjTsXBXv4CVqA,19,2025-08-28T18:29:04Z,2025-08-28T18:29:04Z,True,Ugw40WLfjSBa2_RGssB4AaABAg.AMLUvyxt6DYAMNfCINHwDI,0,True,2025-10-02T18:36:47.788328,0.2,0.2,0.4404,0.326,0.0,0.674,positive,moderate,False,2025-10-02T11:36:47.788579
UgythYTrk9VDNwRqhmR4AaABAg,GfH4QL4VqJ0,Finally an interesting well made tech documentary with no dreadful AI voice over. Thank you to the makers of this.,Finally an interesting well made tech documentary with no dreadful AI voice over. Thank you to the makers of this.,@throwhammer,https://yt3.ggpht.com/ytc/AIdro_mv8Fe442ulrZFz8Z_TjFVjDyh7mQv-USvrOtxyyvE=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@throwhammer,UCKnPVpIx8Qpyf7ibsvvgCtg,22,2025-09-14T09:21:40Z,2025-09-14T09:21:40Z,False,,0,True,2025-10-02T18:36:47.788848,0.3333333333333333,0.5,0.8274,0.378,0.0,0.622,positive,strong,False,2025-10-02T11:36:47.789355
UgxqnmQOtGrq-Yab20N4AaABAg.AMT4KLnNpYYAMp_oz5qK-1,GfH4QL4VqJ0,which is very describe most of the python programmer,which is very describe most of the python programmer,@johnydoe6338,https://yt3.ggpht.com/ytc/AIdro_ktBn-2FxVwzy1Pe_Mw6PuUX7EE3QNRtEAH_i08dXI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@johnydoe6338,UCSr--RKhIsrCSMVqgD8-TaA,0,2025-09-09T00:00:02Z,2025-09-09T00:00:02Z,True,UgxqnmQOtGrq-Yab20N4AaABAg.AMT4KLnNpYYAMp_oz5qK-1,0,True,2025-10-02T18:36:47.789585,0.35,0.4,0.0,0.0,0.0,1.0,positive,moderate,False,2025-10-02T11:36:47.789820
UgzeUOtXI9upm6lTCGN4AaABAg,GfH4QL4VqJ0,"Honestly a beautiful documentary. Gripping, emotional, educational, filmed perfectly. Great job to you all, congrats on this project. One of the best documentaries I&#39;ve watched in years","Honestly a beautiful documentary. Gripping, emotional, educational, filmed perfectly. Great job to you all, congrats on this project. One of the best documentaries I've watched in years",@coda-n6u,https://yt3.ggpht.com/qZ0_3-rAR4oiL1xbaw8NHcw1w_Q4KTiaqI-8a8kQ2sqHXNUCf9lVPTe-lDJAbSqtkPT8zCuiCw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@coda-n6u,UCGwGAfO1mon54F96KwS0M8A,268,2025-08-28T20:27:17Z,2025-08-28T20:27:42Z,False,,2,True,2025-10-02T18:36:47.790200,0.48571428571428577,0.5642857142857143,0.9761,0.55,0.0,0.45,positive,strong,True,2025-10-02T11:36:47.790837
UgzeUOtXI9upm6lTCGN4AaABAg.AMNsjBEPkwlAMOFXgZTZoy,GfH4QL4VqJ0,Hear hear !!,Hear hear !!,@pramodjingade6581,https://yt3.ggpht.com/ytc/AIdro_mrl5CSpkXq7v3JIc5leL-7iQSJ2QW4PJ5WFYVN-YuE9rU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@pramodjingade6581,UCoTs932deR0sdSY2VWUlKhQ,4,2025-08-28T23:55:18Z,2025-08-28T23:55:18Z,True,UgzeUOtXI9upm6lTCGN4AaABAg.AMNsjBEPkwlAMOFXgZTZoy,0,True,2025-10-02T18:36:47.790920,0.0,0.0,0.0,0.0,0.0,1.0,neutral,weak,False,2025-10-02T11:36:47.791106
UgzeUOtXI9upm6lTCGN4AaABAg.AMNsjBEPkwlANbzAPAVn9Z,GfH4QL4VqJ0,Awesome and inspiring documentary.,Awesome and inspiring documentary.,@uroskristan11,https://yt3.ggpht.com/ytc/AIdro_knXXPa2zMt4qG9KdpH3yxK-VuV71S-VpohCJWF585Xcw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@uroskristan11,UCErjHMr5k9pPu6wTMGPvieQ,0,2025-09-28T13:43:34Z,2025-09-28T13:43:34Z,True,UgzeUOtXI9upm6lTCGN4AaABAg.AMNsjBEPkwlANbzAPAVn9Z,0,True,2025-10-02T18:36:47.791225,0.5,0.6666666666666666,0.7845,0.775,0.0,0.225,positive,strong,True,2025-10-02T11:36:47.791457
UgwGRfcROa7fmK-iHA14AaABAg,GfH4QL4VqJ0,"As someone who has been using python for 12 years now, I could only recognize one person in the thumbnail pic. Glad to be introduced to the full cast in this documentary.","As someone who has been using python for 12 years now, I could only recognize one person in the thumbnail pic. Glad to be introduced to the full cast in this documentary.",@ChristopherD-n6n,https://yt3.ggpht.com/ytc/AIdro_nspOsTSamNj0y-PPtCxi_dLjrzu6MKDPux2Xcl3-cqoi3a3KTrnVdMRxc3I3eEbQVJnQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ChristopherD-n6n,UCKKYSIlQIIIk8zZsNUKx3Tw,42,2025-08-28T23:55:24Z,2025-08-29T11:42:44Z,False,,0,True,2025-10-02T18:36:47.791815,0.2125,0.6375,0.4588,0.088,0.0,0.912,positive,moderate,True,2025-10-02T11:36:47.792303
UgzY_XURv7Q1VFf8Xpp4AaABAg,GfH4QL4VqJ0,"Back in 2019, I was 40, and i was afraid of programming. I was afraid to be stuck on syntaxis, and all that stuff. But then i decided to fight this, i googled the easiest language to learn. It was Python. After reading for 1 hour, i started coding. it took me 19 hours in a row to complete the automation i needed so bad for my hobby. Got some sleep, and in another 16 hours, i completed another one. I felt like god. 1 HOUR OF READING THE BASICS, turned my life 180 degrees! Thank you!!!","Back in 2019, I was 40, and i was afraid of programming. I was afraid to be stuck on syntaxis, and all that stuff. But then i decided to fight this, i googled the easiest language to learn. It was Python. After reading for 1 hour, i started coding. it took me 19 hours in a row to complete the automation i needed so bad for my hobby. Got some sleep, and in another 16 hours, i completed another one. I felt like god. 1 HOUR OF READING THE BASICS, turned my life 180 degrees! Thank you!!!",@rOOmUSh,https://yt3.ggpht.com/ytc/AIdro_mLLpWu_WP1Z8Q2zL3o6Z6h8G69H_F5u8gl4IxzVhE=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@rOOmUSh,UCVOaZxtQsUeSdbuOOFLIJwA,11,2025-09-15T18:30:12Z,2025-09-15T18:30:12Z,False,,0,True,2025-10-02T18:36:47.793186,-0.41999999999999993,0.5733333333333334,0.4369,0.122,0.097,0.782,neutral,moderate,True,2025-10-02T11:36:47.794991
